File Name,rxn00012.csv
Date,2022-05-13 11:57:35

[DATA]
time (s),oxy1_voltage (V),oxy1_O2 (%),oxy1_temp_voltage (V),oxy1_temp (C),oxy2_voltage (V),oxy2_O2 (%),oxy2_temp_voltage (V),oxy2_temp (C),bme_temp (C),pressure (kPa),humidity (%),flow1_voltage (V),flow1_flow (mL/min),flow2_voltage (V),flow2_flow (mL/min),PV (C),SV (C),Control Method,Output,PID profile,PID SV,P,I,D
1652443065,0.051813,21.27,1.003000,23.78,0.049078,20.12,0.971750,24.80,21.69,100.01,61.48,2.529297,50.96,2.368164,238.36,0.00,0.00,0,0,0,0.00,0,0,0
1652443075,0.051781,21.26,0.999250,23.90,0.049063,20.11,0.971000,24.82,21.69,100.02,60.50,2.568359,51.74,2.358398,237.42,0.00,0.00,0,0,0,0.00,0,0,0
1652443085,0.051672,21.21,0.999750,23.89,0.049000,20.08,0.968875,24.89,21.68,100.02,60.43,1.562500,31.52,1.450195,149.61,0.00,0.00,0,0,0,0.00,0,0,0
1652443095,0.040563,16.51,1.001500,23.83,0.040547,16.49,0.971000,24.82,21.69,100.02,60.20,2.285156,46.05,2.148437,217.12,0.00,0.00,0,0,0,0.00,0,0,0
1652443105,0.024953,9.90,1.003250,23.77,0.026484,10.52,0.974000,24.72,21.64,100.03,60.28,2.597656,52.33,2.407227,242.14,0.00,0.00,0,0,0,0.00,0,0,0
1652443115,0.015188,5.76,1.005375,23.71,0.016797,6.40,0.977000,24.63,21.58,100.03,60.30,1.538086,31.03,1.430664,147.73,0.00,0.00,0,0,0,0.00,0,0,0
1652443125,0.009641,3.41,1.007000,23.65,0.010969,3.92,0.979375,24.55,21.51,100.03,60.18,2.387695,48.11,2.236328,225.62,0.00,0.00,0,0,0,0.00,0,0,0
1652443135,0.006516,2.09,1.008500,23.60,0.007484,2.44,0.981500,24.48,21.47,100.02,60.35,2.509766,50.56,2.324219,234.11,0.00,0.00,0,0,0,0.00,0,0,0
1652443145,0.004750,1.34,1.009875,23.56,0.005406,1.56,0.983125,24.42,21.46,100.02,60.41,1.577148,31.82,1.464844,151.03,0.00,0.00,0,0,0,0.00,0,0,0
1652443155,0.003734,0.91,1.011375,23.51,0.004156,1.03,0.984750,24.37,21.46,100.01,60.36,2.592773,52.23,2.402344,241.67,0.00,0.00,0,0,0,0.00,0,0,0
1652443165,0.003125,0.66,1.012500,23.48,0.003406,0.71,0.986000,24.33,21.47,100.01,60.27,1.572266,31.72,1.455078,150.09,0.00,0.00,0,0,0,0.00,0,0,0
1652443175,0.002750,0.50,1.013750,23.44,0.002922,0.51,0.987375,24.29,21.47,100.01,60.21,2.597656,52.33,2.416992,243.08,0.00,0.00,0,0,0,0.00,0,0,0
1652443185,0.002516,0.40,1.014750,23.41,0.002625,0.38,0.988875,24.24,21.47,100.02,60.13,2.221680,44.77,2.006836,203.43,0.00,0.00,0,0,0,0.00,0,0,0
1652443195,0.002359,0.33,1.015875,23.37,0.002437,0.30,0.989750,24.21,21.45,100.02,60.03,1.596680,32.21,1.484375,152.92,0.00,0.00,0,0,0,0.00,0,0,0
1652443205,0.002250,0.29,1.016625,23.35,0.002297,0.24,0.990500,24.18,21.45,100.02,60.14,2.602539,52.43,2.412109,242.61,0.00,0.00,0,0,0,0.00,0,0,0
1652443215,0.002172,0.25,1.017500,23.32,0.002203,0.20,0.991375,24.16,21.44,100.02,59.98,1.547852,31.23,1.435547,148.20,0.00,0.00,0,0,0,0.00,0,0,0
1652443225,0.002109,0.23,1.018000,23.30,0.002141,0.17,0.992125,24.13,21.44,100.03,60.17,2.553711,51.45,2.373047,238.83,0.00,0.00,0,0,0,0.00,0,0,0
1652443235,0.002062,0.21,1.018750,23.28,0.002078,0.15,0.992750,24.11,21.45,100.03,60.19,1.562500,31.52,1.450195,149.61,0.00,0.00,0,0,0,0.00,0,0,0
1652443245,0.002016,0.19,1.019125,23.27,0.002031,0.13,0.993375,24.09,21.44,100.03,60.08,2.172852,43.79,2.036133,206.26,0.00,0.00,0,0,0,0.00,0,0,0
1652443255,0.001984,0.17,1.019500,23.25,0.002016,0.12,0.993750,24.08,21.44,100.02,60.00,2.480469,49.97,2.265625,228.45,0.00,0.00,0,0,0,0.00,0,0,0
1652443265,0.001953,0.16,1.020125,23.23,0.001984,0.11,0.994375,24.06,21.43,100.02,60.08,1.669922,33.68,1.557617,160.00,0.00,0.00,0,0,0,0.00,0,0,0
1652443275,0.001938,0.15,1.020625,23.22,0.001953,0.10,0.994625,24.05,21.43,100.01,59.95,2.451172,49.39,2.226562,224.67,0.00,0.00,0,0,0,0.00,0,0,0
1652443285,0.001906,0.14,1.021000,23.21,0.001938,0.09,0.995250,24.03,21.43,100.01,59.97,1.655273,33.39,1.528320,157.17,0.00,0.00,0,0,0,0.00,0,0,0
1652443295,0.001891,0.14,1.021250,23.20,0.001922,0.08,0.995375,24.03,21.41,100.02,60.08,2.622070,52.82,2.426758,244.03,0.00,0.00,0,0,0,0.00,0,0,0
1652443305,0.001875,0.13,1.021875,23.18,0.001906,0.08,0.995875,24.01,21.40,100.02,60.19,1.777344,35.84,1.630859,167.08,0.00,0.00,0,0,0,0.00,0,0,0
1652443315,0.001859,0.12,1.022125,23.17,0.001891,0.07,0.996000,24.01,21.39,100.02,60.19,1.621094,32.70,1.489258,153.39,0.00,0.00,0,0,0,0.00,0,0,0
