File Name,rxn00010.csv
Date,2022-05-13 09:28:20

[DATA]
time (s),oxy1_voltage (V),oxy1_O2 (%),oxy1_temp_voltage (V),oxy1_temp (C),oxy2_voltage (V),oxy2_O2 (%),oxy2_temp_voltage (V),oxy2_temp (C),bme_temp (C),pressure (kPa),humidity (%),flow1_voltage (V),flow1_flow (mL/min),flow2_voltage (V),flow2_flow (mL/min),PV (C),SV (C),Control Method,Output,PID profile,PID SV,P,I,D
1652434110,0.052969,21.77,1.057875,22.05,0.050578,20.77,1.036250,22.73,21.52,100.00,36.19,1.625977,32.80,1.508789,155.28,0.00,0.00,0,0,0,0.00,0,0,0
1652434120,0.052906,21.75,1.057250,22.07,0.050531,20.75,1.035000,22.77,21.59,100.00,38.09,2.617187,52.72,2.431641,244.50,0.00,0.00,0,0,0,0.00,0,0,0
1652434130,0.052703,21.66,1.057125,22.08,0.050328,20.66,1.034250,22.79,21.64,100.00,37.37,1.591797,32.11,1.489258,153.39,0.00,0.00,0,0,0,0.00,0,0,0
1652434140,0.052609,21.62,1.056750,22.09,0.050219,20.61,1.033625,22.81,21.67,100.00,37.84,2.490234,50.17,2.319336,233.64,0.00,0.00,0,0,0,0.00,0,0,0
1652434150,0.052547,21.59,1.056625,22.09,0.050187,20.60,1.033000,22.83,21.68,100.01,37.65,2.084961,42.02,1.972656,200.12,0.00,0.00,0,0,0,0.00,0,0,0
1652434160,0.052562,21.60,1.056625,22.09,0.050156,20.58,1.032750,22.84,21.67,100.01,37.84,2.500000,50.37,2.319336,233.64,0.00,0.00,0,0,0,0.00,0,0,0
1652434170,0.052578,21.61,1.056625,22.09,0.050141,20.58,1.032375,22.85,21.65,100.01,37.97,1.567383,31.62,1.464844,151.03,0.00,0.00,0,0,0,0.00,0,0,0
1652434180,0.052594,21.61,1.056125,22.11,0.050203,20.60,1.031625,22.87,21.63,100.02,38.30,2.553711,51.45,2.368164,238.36,0.00,0.00,0,0,0,0.00,0,0,0
1652434190,0.052609,21.62,1.056250,22.10,0.050219,20.61,1.031250,22.88,21.60,100.01,38.69,1.572266,31.72,1.474609,151.97,0.00,0.00,0,0,0,0.00,0,0,0
1652434200,0.052625,21.62,1.056000,22.11,0.050234,20.61,1.030875,22.90,21.60,100.02,38.60,2.573242,51.84,2.387695,240.25,0.00,0.00,0,0,0,0.00,0,0,0
1652434210,0.052625,21.63,1.055875,22.12,0.050250,20.62,1.030750,22.90,21.59,100.01,38.88,1.562500,31.52,1.459961,150.56,0.00,0.00,0,0,0,0.00,0,0,0
1652434220,0.052641,21.63,1.056000,22.11,0.050234,20.62,1.030500,22.91,21.57,100.01,38.97,2.597656,52.33,2.426758,244.03,0.00,0.00,0,0,0,0.00,0,0,0
1652434230,0.052641,21.63,1.055625,22.12,0.050266,20.63,1.030250,22.91,21.56,100.01,39.05,1.582031,31.91,1.469727,151.50,0.00,0.00,0,0,0,0.00,0,0,0
1652434240,0.052656,21.64,1.055625,22.12,0.050281,20.64,1.029875,22.93,21.53,100.00,39.26,2.626953,52.92,2.441406,245.44,0.00,0.00,0,0,0,0.00,0,0,0
1652434250,0.052641,21.63,1.055625,22.12,0.050281,20.64,1.029750,22.93,21.53,100.01,39.29,1.542969,31.13,1.450195,149.61,0.00,0.00,0,0,0,0.00,0,0,0
1652434260,0.052641,21.63,1.055500,22.13,0.050297,20.64,1.029625,22.93,21.52,100.01,39.45,2.490234,50.17,2.304687,232.22,0.00,0.00,0,0,0,0.00,0,0,0
1652434270,0.052641,21.63,1.055375,22.13,0.050266,20.63,1.029375,22.94,21.52,100.01,39.36,2.109375,42.51,1.992187,202.01,0.00,0.00,0,0,0,0.00,0,0,0
1652434280,0.052641,21.63,1.055125,22.14,0.050297,20.64,1.029250,22.95,21.49,100.02,39.76,1.523437,30.74,1.430664,147.73,0.00,0.00,0,0,0,0.00,0,0,0
1652434290,0.052656,21.64,1.055125,22.14,0.050328,20.65,1.028875,22.96,21.47,100.01,39.71,2.519531,50.76,2.333984,235.06,0.00,0.00,0,0,0,0.00,0,0,0
1652434300,0.052656,21.64,1.055000,22.14,0.050313,20.65,1.028625,22.97,21.45,100.01,39.99,2.187500,44.09,2.075195,210.04,0.00,0.00,0,0,0,0.00,0,0,0
1652434310,0.052625,21.62,1.054875,22.15,0.050313,20.65,1.028500,22.97,21.42,100.02,40.13,1.562500,31.52,1.445312,149.14,0.00,0.00,0,0,0,0.00,0,0,0
1652434320,0.052656,21.64,1.054875,22.15,0.050328,20.65,1.028375,22.97,21.39,100.01,40.12,2.631836,53.02,2.436523,244.97,0.00,0.00,0,0,0,0.00,0,0,0
1652434330,0.052672,21.65,1.054750,22.15,0.050297,20.64,1.028000,22.99,21.35,100.01,40.32,1.552734,31.32,1.455078,150.09,0.00,0.00,0,0,0,0.00,0,0,0
1652434340,0.052656,21.64,1.054625,22.15,0.050344,20.66,1.027750,22.99,21.31,100.01,40.42,2.578125,51.94,2.392578,240.72,0.00,0.00,0,0,0,0.00,0,0,0
1652434350,0.052656,21.64,1.054625,22.15,0.050328,20.66,1.027625,23.00,21.29,100.00,40.64,1.826172,36.82,1.767578,180.30,0.00,0.00,0,0,0,0.00,0,0,0
1652434360,0.052656,21.64,1.054375,22.16,0.050328,20.66,1.027250,23.01,21.28,100.00,40.62,1.689453,34.07,1.552734,159.53,0.00,0.00,0,0,0,0.00,0,0,0
1652434370,0.052672,21.65,1.054375,22.16,0.050344,20.66,1.027375,23.01,21.26,100.01,40.87,2.402344,48.40,2.236328,225.62,0.00,0.00,0,0,0,0.00,0,0,0
1652434380,0.052641,21.63,1.054250,22.17,0.050313,20.65,1.027000,23.02,21.25,100.01,40.84,1.669922,33.68,1.528320,157.17,0.00,0.00,0,0,0,0.00,0,0,0
1652434390,0.052656,21.64,1.054125,22.17,0.050328,20.65,1.027000,23.02,21.25,100.01,41.02,2.519531,50.76,2.363281,237.89,0.00,0.00,0,0,0,0.00,0,0,0
1652434400,0.052672,21.64,1.054125,22.17,0.050328,20.65,1.027125,23.01,21.25,100.02,41.01,1.518555,30.64,1.420898,146.78,0.00,0.00,0,0,0,0.00,0,0,0
1652434410,0.052672,21.64,1.054000,22.17,0.050313,20.65,1.027000,23.02,21.23,100.02,41.21,2.553711,51.45,2.368164,238.36,0.00,0.00,0,0,0,0.00,0,0,0
1652434420,0.052672,21.64,1.054250,22.17,0.050328,20.65,1.026875,23.02,21.22,100.02,41.12,1.616211,32.60,1.513672,155.75,0.00,0.00,0,0,0,0.00,0,0,0
1652434430,0.052688,21.65,1.053875,22.18,0.050328,20.65,1.026625,23.03,21.21,100.02,41.24,2.495117,50.27,2.319336,233.64,0.00,0.00,0,0,0,0.00,0,0,0
1652434440,0.052688,21.65,1.053750,22.18,0.050344,20.66,1.026500,23.03,21.21,100.01,41.24,1.899414,38.29,1.821289,185.49,0.00,0.00,0,0,0,0.00,0,0,0
1652434450,0.052672,21.65,1.053750,22.18,0.050328,20.66,1.026375,23.04,21.21,100.01,41.37,1.723633,34.76,1.591797,163.30,0.00,0.00,0,0,0,0.00,0,0,0
1652434460,0.052688,21.65,1.053875,22.18,0.050328,20.66,1.026250,23.04,21.20,100.00,41.35,2.622070,52.82,2.421875,243.55,0.00,0.00,0,0,0,0.00,0,0,0
1652434470,0.052703,21.66,1.053750,22.18,0.050297,20.64,1.026375,23.04,21.19,100.00,41.50,1.586914,32.01,1.474609,151.97,0.00,0.00,0,0,0,0.00,0,0,0
