File Name,rxn00016.csv
Date,2022-05-18 10:52:49

[DATA]
time (s),oxy1_voltage (V),oxy1_O2 (%),oxy1_temp_voltage (V),oxy1_temp (C),oxy2_voltage (V),oxy2_O2 (%),oxy2_temp_voltage (V),oxy2_temp (C),bme_temp (C),pressure (kPa),humidity (%),flow1_voltage (V),flow1_flow (mL/min),flow2_voltage (V),flow2_flow (mL/min),PV (C),SV (C),Control Method,Output,PID profile,PID SV,P,I,D
1652871179,0.051938,20.45,1.002125,23.81,0.049156,20.42,1.018500,23.29,21.33,100.37,27.33,0.000000,0.11,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871189,0.042719,16.73,1.003625,23.76,0.042016,17.33,1.018500,23.29,21.29,100.37,19.39,0.004883,0.21,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871199,0.026563,10.21,1.005500,23.70,0.027750,11.26,1.018250,23.29,21.27,100.36,16.53,0.000000,0.11,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871209,0.016172,6.01,1.007250,23.64,0.017625,6.95,1.018000,23.30,21.27,100.37,15.03,0.000000,0.11,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871219,0.010234,3.61,1.009125,23.58,0.011469,4.33,1.018125,23.30,21.26,100.36,13.80,0.000000,0.11,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871229,0.006906,2.27,1.010250,23.55,0.007797,2.77,1.017750,23.31,21.27,100.35,13.11,0.043945,0.99,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871239,0.005000,1.50,1.011750,23.50,0.005594,1.84,1.017875,23.31,21.27,100.25,12.59,0.000000,0.11,0.000000,9.41,0.00,0.00,0,0,0,0.00,0,0,0
1652871249,0.003922,1.06,1.012875,23.47,0.004266,1.27,1.018000,23.30,21.28,100.20,13.25,0.014648,0.40,0.068359,16.02,0.00,0.00,0,0,0,0.00,0,0,0
1652871259,0.003359,0.84,1.014000,23.43,0.003484,0.94,1.017875,23.31,21.27,100.20,13.00,0.024414,0.60,0.043945,13.66,0.00,0.00,0,0,0,0.00,0,0,0
1652871269,0.003016,0.70,1.014750,23.41,0.003000,0.73,1.017625,23.31,21.28,100.20,12.84,0.000000,0.11,0.014648,10.83,0.00,0.00,0,0,0,0.00,0,0,0
